title,text,summary,url,published_at,category,source
"Иран впервые применил ракету ""Хадж Касем"" в конфликте с США и Израилем","Иран впервые применил ракету ""Хадж Касем"" в конфликте с США и Израилем","Иран впервые применил ракету ""Хадж Касем"" в конфликте с США и Израилем",https://ria.ru/20260317/iran-2081283920.html,2026-03-17 15:50:54,Лента новостей,parsed_rss:ria
"Началось взыскание с ""Ренессанс"" 4 млрд руб в пользу акционеров ""Фосагро""","Началось взыскание с ""Ренессанс"" 4 млрд руб в пользу акционеров ""Фосагро""","Началось взыскание с ""Ренессанс"" 4 млрд руб в пользу акционеров ""Фосагро""",https://ria.ru/20260317/vzyskanie-2081283714.html,2026-03-17 15:49:01,Лента новостей,parsed_rss:ria
"Баринов вошел в стартовый состав ЦСКА на матч против ""Краснодара""","Баринов вошел в стартовый состав ЦСКА на матч против ""Краснодара""","Баринов вошел в стартовый состав ЦСКА на матч против ""Краснодара""",https://ria.ru/20260317/barinov-2081283274.html,2026-03-17 15:47:33,Лента новостей,parsed_rss:ria
В суд поступили апелляции на приговор по делу о курских фортификациях,В суд поступили апелляции на приговор по делу о курских фортификациях,В суд поступили апелляции на приговор по делу о курских фортификациях,https://ria.ru/20260317/sud-2081283131.html,2026-03-17 15:46:54,Лента новостей,parsed_rss:ria
"Название Транссибирского арт-фестиваля отражает его размах, заявил Путин","Название Транссибирского арт-фестиваля отражает его размах, заявил Путин","Название Транссибирского арт-фестиваля отражает его размах, заявил Путин",https://ria.ru/20260317/putin-2081283002.html,2026-03-17 15:46:51,Лента новостей,parsed_rss:ria
ЦАХАЛ зафиксировала пуски ракет со стороны Ирана,ЦАХАЛ зафиксировала пуски ракет со стороны Ирана,ЦАХАЛ зафиксировала пуски ракет со стороны Ирана,https://ria.ru/20260317/tsakhal-2081282911.html,2026-03-17 15:46:22,Лента новостей,parsed_rss:ria
В США бейсбольный клуб раздаст 20 тысяч фигурок Овечкина,В США бейсбольный клуб раздаст 20 тысяч фигурок Овечкина,В США бейсбольный клуб раздаст 20 тысяч фигурок Овечкина,https://ria.ru/20260317/vashington-2081282620.html,2026-03-17 15:43:17,Лента новостей,parsed_rss:ria
"Спецоперация, 17 марта: ВС России освободили два населенных пункта","Спецоперация, 17 марта: ВС России освободили два населенных пункта","Спецоперация, 17 марта: ВС России освободили два населенных пункта",https://ria.ru/20260317/spetsoperatsiya-2081282298.html,2026-03-17 15:41:54,Лента новостей,parsed_rss:ria
"""ВКонтакте"" прокомментировала жалобы на работу соцсети","""ВКонтакте"" прокомментировала жалобы на работу соцсети","""ВКонтакте"" прокомментировала жалобы на работу соцсети",https://ria.ru/20260317/vkontakte-2081282167.html,2026-03-17 15:41:09,Лента новостей,parsed_rss:ria
Волочкова прокомментировала отмену выступлений балерины Захаровой в Риме,Волочкова прокомментировала отмену выступлений балерины Захаровой в Риме,Волочкова прокомментировала отмену выступлений балерины Захаровой в Риме,https://ria.ru/20260317/volochkova-2081281943.html,2026-03-17 15:40:49,Лента новостей,parsed_rss:ria
